"Attr1","Attr3","Attr4","Attr5","Attr6","Attr9","Attr10","Attr12","Attr13","Attr15","Attr18","Attr19","Attr20","Attr21","Attr22","Attr23","Attr24","Attr26","Attr27","Attr29","Attr30","Attr31","Attr33","Attr35","Attr39","Attr40","Attr41","Attr42","Attr43","Attr45","Attr47","Attr48","Attr51","Attr52","Attr53","Attr55","Attr56","Attr57","Attr58","Attr59","Attr61","Attr63","Attr64","Attr68","Attr69","Attr70","class"
-0.024558,0.10733,1.05852578749519,34.382,-0.026711,0.741494865897675,0.67673,-0.156455637,0.025634,6342.5,-0.020067,-2379.55025618642,3.32413633552569,1.0853,0.0086596,-0.023022406,-0.019018,0.042607,0.13691,4.5645,0.44185,-0.029744,1.78027713211902,0.0086596,0.008118121,0.026591,0.21468,0.012835,11.6624363403903,-0.4962,3.50226971619944,-0.028702,0.120676622969542,0.184635544125685,6.94272205310688,13.1392570719729,0.062497,-0.036289,0.9375,5.70987763353425,1.54674304538806,8.803515795277,0.632661661568264,9.93850740706233,6.52286774619468,0,0
0.63918,1,1.86669670459084,29.678,-1.1393,0.765872876381197,1,4547.600062,0.67994,0,0.76052,3187.18230620201,0,1.103376,0.7604,0.571461779,0.60072,1.508268,24232.1711433333,1.2218,0,0.67994,2.41918431711086,0.7604,0.67983907,2.14789302,0,0.67983,11.6614371391626,2.80101125,1.53270804457537,0.7604,0,0,6.94419657115522,13.1315166877507,0.67983,0.63918,0.32014,5.70892246391631,3.66071529398182,9.49833247851243,1.73386123669169,1.1185,6.52289216139423,1,0
-0.44076,0.1926,0.921524611200747,34.555,0,0.936474071004112,0.52277,-1.070611382,-0.24074,-476.47,-0.44076,-10640.1580343217,0,0.5004,-0.42986,-0.290241011,0.7447,-0.76605,-37.147,2.9728,0.31392,-0.28262,1.7510416359495,-0.4413,-0.290596602,0.029665,-0.044852,-0.28306,11.662580138606,-2.298574,1.53270804457537,-0.50504,0.344787568224927,0.190669945156126,6.94314278940739,13.1318421317362,-0.29059,-0.84313,1.2871,5.70933813708434,1.272019256099,8.80282040876967,1.57642178934047,7.88473520249221,6.52287240606887,0,0
0.11952,0.63546,1.72983424157374,117.65,0.25154,0.769492754557247,0.81017,0.841393744,0.1315,306.88,0.14875,42914.1612898364,3.73461734578779,0.97491,0.14495,0.106117375,0.31527,1.0241,1.0209,5.4536,-0.18039,0.093023,2.20064095708168,0.14495,0.128695729,2.7023,0.02815,0.090649,11.6620120926739,0.66747,3.92520967783232,0.083425,0.16279039264832,0.117356277941595,6.94602852419863,13.4373945309077,0.11211,0.14752,0.88789,5.7089758387223,2.42393067302448,8.80322347573491,2.25307072064917,1.7724168319013,6.52286953328131,0,0
0.2304,0.23762,1.28642402458764,-26.928,0.61754,0.607851240457664,0.72905,1.873235703,0.39016,315.23,0.28269,515421.863578085,3.851062077067,1.4416,0.28433,0.286527963,0.61655,0.96487,173.05,7.2973,0.33696,0.35156,1.49465537078996,0.36955,0.459576426,1.1024,0.028638,0.3536,11.6622230159669,2.2714,4.3252009595879,0.2533,0.140552933806763,0.254021870959146,6.94301845988651,13.1314887631333,0.45957,0.31602,0.6232,5.70946834319226,2.0364883846159,8.8030668408053,0.839416080606315,3.38401649692787,6.52287627587719,0,0
0.15255,0.018859,0.735209525527446,-39.998,0,1.08108321488933,0.52989,0.328594507,0.091232,981.88,0.15255,11012.4586694358,3.58287984539075,1.0724,0,0.079639781,0.22983,0.37174,0,4.0682,0.24418,0.15928,1.47265552676793,0.0085575,0.004467502,0.018452,0.70567,0,11.6621333062158,0.83108,3.86221702549253,-0.022206,0.381343165987755,0.2604778709609,6.94285713666892,13.1319208984446,0.18545,0.28788,0.81964,5.70895913725121,2.02628468298711,8.8028861383228,1.54879893551463,101.569542393552,6.52287183454771,0,0
0.036332,0.42075,1.42043464263067,52.16,-0.013645,0.938432190598029,0.74608,0.184454618,0.08481,717.26,0.037068,7171.31392354456,3.96159381719389,0.96884,0.044479,0.023846154,0.11615,0.50598,2.9467,5.054,0.026201,0.02497,2.11492933460939,0.058786,0.038583618,1.0983,0.06195,0.029193,11.6621818702084,0.16887,4.06456725277626,-0.04767,0.183121236964519,0.128560307228081,6.9437710541115,13.2217144726106,0.038584,0.048697,0.9765,5.70915783762144,2.21933935525887,8.803405375353,1.61494567681471,3.62115270350564,6.52288009895821,0,0
0.11767,0.26743,1.2143841180191,18.308,0.14871,0.802436916710601,0.62668,0.720801385,0.18652,833.46,0.14571,26659.7029375024,4.34888341608063,1.3816,0.13334,0.098172868,0.1902,0.36282,1.8232,4.9982,0.33873,0.16624,1.52989674563458,0.13334,0.111246454,0.6139,0.081222,0.15212,11.6625934840984,0.64144,4.56633267940179,0.11556,0.184111620340451,0.24405928436845,6.9430080340379,13.1829183497365,0.16567,0.18777,0.83433,5.70982784554304,1.85831939906675,8.80315712778468,0.975508171132282,4.48192050256142,6.52286935006342,0,0
0.034426,0.0003502,0.715847077302937,-64.815,-0.006477,0.732738498107857,0.15256,0.076140664,0.10405,2593.5,0.043455,6484.15006126871,4.08136063466381,1.5275,0.052525,0.032836704,-0.0050601,0.13006,0.48136,4.7943,0.73764,0.037987,1.06880578908544,0.052525,0.050100153,0.0046148,0.21707,0.045915,11.6629163907187,0.18865,4.18468331402193,-0.023046,0.451534112962074,0.420701771683566,6.94221051101522,13.1315268839409,0.046134,0.22565,0.95387,5.71491959351926,1.37804797797293,8.80254204069653,1.29937792507777,2993.71787549971,6.52286783886343,0,0
-0.13918,-0.012322,0.709236549689328,-98.196,-0.14454,1.15406938571867,0.004454,-0.145444285,-0.054878,-3096.1,-0.13918,-4377.1721430974,4.59204441876916,0.85659,-0.11765,-0.065076916,-0.14795,-0.11789,-5.466,3.2373,0.45822,-0.056404,1.19625308381072,-0.069644,-0.032563707,0.028436,-0.34625,-0.055011,11.6627029104183,-0.24313,4.59759859369172,-0.13946,0.671376918739976,0.360000408447308,6.94194452473657,13.1314414824346,-0.032564,-31.247,1.0615,5.73726859077526,1.97447679491739,8.80260187563538,3.67915772083035,-173.567602661906,6.52287161882005,0,0
